******************************* K-fold cross-validation ： 1 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 67
C : 10, resultLoss: 0.13889 , Support Vectors: 59
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 57
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 56
C : 18, resultLoss: 0.12963 , Support Vectors: 54
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 5 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 59
C : 2, resultLoss: 0.26852 , Support Vectors: 59
C : 3, resultLoss: 0.26852 , Support Vectors: 59
C : 4, resultLoss: 0.26852 , Support Vectors: 59
C : 5, resultLoss: 0.26852 , Support Vectors: 59
C : 6, resultLoss: 0.26852 , Support Vectors: 59
C : 7, resultLoss: 0.26852 , Support Vectors: 59
C : 8, resultLoss: 0.26852 , Support Vectors: 59
C : 9, resultLoss: 0.26852 , Support Vectors: 59
C : 10, resultLoss: 0.26852 , Support Vectors: 59
C : 11, resultLoss: 0.26852 , Support Vectors: 59
C : 12, resultLoss: 0.25926 , Support Vectors: 59
C : 13, resultLoss: 0.25926 , Support Vectors: 59
C : 14, resultLoss: 0.25 , Support Vectors: 59
C : 15, resultLoss: 0.24074 , Support Vectors: 59
C : 16, resultLoss: 0.24074 , Support Vectors: 59
C : 17, resultLoss: 0.23148 , Support Vectors: 59
C : 18, resultLoss: 0.21296 , Support Vectors: 59
C : 19, resultLoss: 0.18519 , Support Vectors: 59
C : 20, resultLoss: 0.18519 , Support Vectors: 59
C : 1, resultLoss: 100 , Support Vectors: 62
C : 2, resultLoss: 0.28704 , Support Vectors: 62
C : 3, resultLoss: 0.28704 , Support Vectors: 62
C : 4, resultLoss: 0.28704 , Support Vectors: 62
C : 5, resultLoss: 0.26852 , Support Vectors: 62
C : 6, resultLoss: 0.2037 , Support Vectors: 62
C : 7, resultLoss: 0.14815 , Support Vectors: 62
C : 8, resultLoss: 0.14815 , Support Vectors: 60
C : 9, resultLoss: 0.14815 , Support Vectors: 60
C : 10, resultLoss: 0.13889 , Support Vectors: 59
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 57
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 56
C : 18, resultLoss: 0.12963 , Support Vectors: 54
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 6 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 63
C : 2, resultLoss: 0.28704 , Support Vectors: 63
C : 3, resultLoss: 0.28704 , Support Vectors: 63
C : 4, resultLoss: 0.28704 , Support Vectors: 63
C : 5, resultLoss: 0.28704 , Support Vectors: 63
C : 6, resultLoss: 0.28704 , Support Vectors: 63
C : 7, resultLoss: 0.28704 , Support Vectors: 63
C : 8, resultLoss: 0.28704 , Support Vectors: 63
C : 9, resultLoss: 0.28704 , Support Vectors: 63
C : 10, resultLoss: 0.28704 , Support Vectors: 63
C : 11, resultLoss: 0.28704 , Support Vectors: 63
C : 12, resultLoss: 0.28704 , Support Vectors: 63
C : 13, resultLoss: 0.28704 , Support Vectors: 63
C : 14, resultLoss: 0.28704 , Support Vectors: 63
C : 15, resultLoss: 0.26852 , Support Vectors: 63
C : 16, resultLoss: 0.26852 , Support Vectors: 63
C : 17, resultLoss: 0.26852 , Support Vectors: 63
C : 18, resultLoss: 0.24074 , Support Vectors: 63
C : 19, resultLoss: 0.22222 , Support Vectors: 63
C : 20, resultLoss: 0.22222 , Support Vectors: 63
C : 1, resultLoss: 100 , Support Vectors: 67
C : 2, resultLoss: 0.30556 , Support Vectors: 67
C : 3, resultLoss: 0.30556 , Support Vectors: 67
C : 4, resultLoss: 0.27778 , Support Vectors: 67
C : 5, resultLoss: 0.18519 , Support Vectors: 67
C : 6, resultLoss: 0.14815 , Support Vectors: 65
C : 7, resultLoss: 0.14815 , Support Vectors: 63
C : 8, resultLoss: 0.13889 , Support Vectors: 62
C : 9, resultLoss: 0.13889 , Support Vectors: 61
C : 10, resultLoss: 0.13889 , Support Vectors: 60
C : 11, resultLoss: 0.13889 , Support Vectors: 60
C : 12, resultLoss: 0.13889 , Support Vectors: 59
C : 13, resultLoss: 0.13889 , Support Vectors: 59
C : 14, resultLoss: 0.13889 , Support Vectors: 59
C : 15, resultLoss: 0.13889 , Support Vectors: 56
C : 16, resultLoss: 0.13889 , Support Vectors: 56
C : 17, resultLoss: 0.13889 , Support Vectors: 57
C : 18, resultLoss: 0.13889 , Support Vectors: 56
C : 19, resultLoss: 0.13889 , Support Vectors: 55
C : 20, resultLoss: 0.13889 , Support Vectors: 54
******************************* K-fold cross-validation ： 7 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 63
C : 2, resultLoss: 0.28704 , Support Vectors: 63
C : 3, resultLoss: 0.28704 , Support Vectors: 63
C : 4, resultLoss: 0.28704 , Support Vectors: 63
C : 5, resultLoss: 0.28704 , Support Vectors: 63
C : 6, resultLoss: 0.28704 , Support Vectors: 63
C : 7, resultLoss: 0.28704 , Support Vectors: 63
C : 8, resultLoss: 0.28704 , Support Vectors: 63
C : 9, resultLoss: 0.28704 , Support Vectors: 63
C : 10, resultLoss: 0.28704 , Support Vectors: 63
C : 11, resultLoss: 0.28704 , Support Vectors: 63
C : 12, resultLoss: 0.28704 , Support Vectors: 63
C : 13, resultLoss: 0.28704 , Support Vectors: 63
C : 14, resultLoss: 0.28704 , Support Vectors: 63
C : 15, resultLoss: 0.26852 , Support Vectors: 63
C : 16, resultLoss: 0.26852 , Support Vectors: 63
C : 17, resultLoss: 0.26852 , Support Vectors: 63
C : 18, resultLoss: 0.24074 , Support Vectors: 63
C : 19, resultLoss: 0.22222 , Support Vectors: 63
C : 20, resultLoss: 0.22222 , Support Vectors: 63
C : 1, resultLoss: 100 , Support Vectors: 61
C : 2, resultLoss: 0.27778 , Support Vectors: 61
C : 3, resultLoss: 0.27778 , Support Vectors: 61
C : 4, resultLoss: 0.27778 , Support Vectors: 61
C : 5, resultLoss: 0.27778 , Support Vectors: 61
C : 6, resultLoss: 0.25 , Support Vectors: 61
C : 7, resultLoss: 0.2037 , Support Vectors: 61
C : 8, resultLoss: 0.16667 , Support Vectors: 61
C : 9, resultLoss: 0.15741 , Support Vectors: 60
C : 10, resultLoss: 0.12963 , Support Vectors: 60
C : 11, resultLoss: 0.12963 , Support Vectors: 59
C : 12, resultLoss: 0.12963 , Support Vectors: 59
C : 13, resultLoss: 0.12963 , Support Vectors: 58
C : 14, resultLoss: 0.12963 , Support Vectors: 57
C : 15, resultLoss: 0.12963 , Support Vectors: 57
C : 16, resultLoss: 0.12963 , Support Vectors: 56
C : 17, resultLoss: 0.12963 , Support Vectors: 55
C : 18, resultLoss: 0.12963 , Support Vectors: 55
C : 19, resultLoss: 0.12963 , Support Vectors: 54
C : 20, resultLoss: 0.12963 , Support Vectors: 54
******************************* K-fold cross-validation ： 8 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 63
C : 2, resultLoss: 0.28704 , Support Vectors: 63
C : 3, resultLoss: 0.28704 , Support Vectors: 63
C : 4, resultLoss: 0.28704 , Support Vectors: 63
C : 5, resultLoss: 0.28704 , Support Vectors: 63
C : 6, resultLoss: 0.28704 , Support Vectors: 63
C : 7, resultLoss: 0.28704 , Support Vectors: 63
C : 8, resultLoss: 0.28704 , Support Vectors: 63
C : 9, resultLoss: 0.28704 , Support Vectors: 63
C : 10, resultLoss: 0.28704 , Support Vectors: 63
C : 11, resultLoss: 0.28704 , Support Vectors: 63
C : 12, resultLoss: 0.28704 , Support Vectors: 63
C : 13, resultLoss: 0.28704 , Support Vectors: 63
C : 14, resultLoss: 0.28704 , Support Vectors: 63
C : 15, resultLoss: 0.26852 , Support Vectors: 63
C : 16, resultLoss: 0.26852 , Support Vectors: 63
C : 17, resultLoss: 0.26852 , Support Vectors: 63
C : 18, resultLoss: 0.24074 , Support Vectors: 63
C : 19, resultLoss: 0.22222 , Support Vectors: 63
C : 20, resultLoss: 0.22222 , Support Vectors: 63
C : 1, resultLoss: 100 , Support Vectors: 68
C : 2, resultLoss: 0.31481 , Support Vectors: 68
C : 3, resultLoss: 0.31481 , Support Vectors: 68
C : 4, resultLoss: 0.23148 , Support Vectors: 68
C : 5, resultLoss: 0.17593 , Support Vectors: 66
C : 6, resultLoss: 0.16667 , Support Vectors: 65
C : 7, resultLoss: 0.15741 , Support Vectors: 63
C : 8, resultLoss: 0.15741 , Support Vectors: 63
C : 9, resultLoss: 0.15741 , Support Vectors: 61
C : 10, resultLoss: 0.15741 , Support Vectors: 60
C : 11, resultLoss: 0.15741 , Support Vectors: 60
C : 12, resultLoss: 0.15741 , Support Vectors: 59
C : 13, resultLoss: 0.15741 , Support Vectors: 58
C : 14, resultLoss: 0.15741 , Support Vectors: 58
C : 15, resultLoss: 0.15741 , Support Vectors: 56
C : 16, resultLoss: 0.15741 , Support Vectors: 56
C : 17, resultLoss: 0.15741 , Support Vectors: 56
C : 18, resultLoss: 0.15741 , Support Vectors: 56
C : 19, resultLoss: 0.15741 , Support Vectors: 56
C : 20, resultLoss: 0.15741 , Support Vectors: 56
******************************* K-fold cross-validation ： 9 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 63
C : 2, resultLoss: 0.28704 , Support Vectors: 63
C : 3, resultLoss: 0.28704 , Support Vectors: 63
C : 4, resultLoss: 0.28704 , Support Vectors: 63
C : 5, resultLoss: 0.28704 , Support Vectors: 63
C : 6, resultLoss: 0.28704 , Support Vectors: 63
C : 7, resultLoss: 0.28704 , Support Vectors: 63
C : 8, resultLoss: 0.28704 , Support Vectors: 63
C : 9, resultLoss: 0.28704 , Support Vectors: 63
C : 10, resultLoss: 0.28704 , Support Vectors: 63
C : 11, resultLoss: 0.28704 , Support Vectors: 63
C : 12, resultLoss: 0.28704 , Support Vectors: 63
C : 13, resultLoss: 0.28704 , Support Vectors: 63
C : 14, resultLoss: 0.28704 , Support Vectors: 63
C : 15, resultLoss: 0.26852 , Support Vectors: 63
C : 16, resultLoss: 0.26852 , Support Vectors: 63
C : 17, resultLoss: 0.26852 , Support Vectors: 63
C : 18, resultLoss: 0.24074 , Support Vectors: 63
C : 19, resultLoss: 0.22222 , Support Vectors: 63
C : 20, resultLoss: 0.22222 , Support Vectors: 63
C : 1, resultLoss: 100 , Support Vectors: 71
C : 2, resultLoss: 0.32407 , Support Vectors: 71
C : 3, resultLoss: 0.32407 , Support Vectors: 71
C : 4, resultLoss: 0.25 , Support Vectors: 71
C : 5, resultLoss: 0.17593 , Support Vectors: 70
C : 6, resultLoss: 0.17593 , Support Vectors: 67
C : 7, resultLoss: 0.17593 , Support Vectors: 66
C : 8, resultLoss: 0.17593 , Support Vectors: 65
C : 9, resultLoss: 0.17593 , Support Vectors: 64
C : 10, resultLoss: 0.17593 , Support Vectors: 62
C : 11, resultLoss: 0.17593 , Support Vectors: 62
C : 12, resultLoss: 0.17593 , Support Vectors: 62
C : 13, resultLoss: 0.17593 , Support Vectors: 61
C : 14, resultLoss: 0.17593 , Support Vectors: 61
C : 15, resultLoss: 0.17593 , Support Vectors: 61
C : 16, resultLoss: 0.17593 , Support Vectors: 58
C : 17, resultLoss: 0.17593 , Support Vectors: 58
C : 18, resultLoss: 0.17593 , Support Vectors: 58
C : 19, resultLoss: 0.17593 , Support Vectors: 58
C : 20, resultLoss: 0.17593 , Support Vectors: 58
******************************* K-fold cross-validation ： 10 ******************************* 
C : 1, resultLoss: 100 , Support Vectors: 63
C : 2, resultLoss: 0.28704 , Support Vectors: 63
C : 3, resultLoss: 0.28704 , Support Vectors: 63
C : 4, resultLoss: 0.28704 , Support Vectors: 63
C : 5, resultLoss: 0.28704 , Support Vectors: 63
C : 6, resultLoss: 0.28704 , Support Vectors: 63
C : 7, resultLoss: 0.28704 , Support Vectors: 63
C : 8, resultLoss: 0.28704 , Support Vectors: 63
C : 9, resultLoss: 0.28704 , Support Vectors: 63
C : 10, resultLoss: 0.28704 , Support Vectors: 63
C : 11, resultLoss: 0.28704 , Support Vectors: 63
C : 12, resultLoss: 0.28704 , Support Vectors: 63
C : 13, resultLoss: 0.28704 , Support Vectors: 63
C : 14, resultLoss: 0.28704 , Support Vectors: 63
C : 15, resultLoss: 0.26852 , Support Vectors: 63
C : 16, resultLoss: 0.26852 , Support Vectors: 63
C : 17, resultLoss: 0.26852 , Support Vectors: 63
C : 18, resultLoss: 0.24074 , Support Vectors: 63
C : 19, resultLoss: 0.22222 , Support Vectors: 63
C : 20, resultLoss: 0.22222 , Support Vectors: 63
C : 1, resultLoss: 100 , Support Vectors: 61
C : 2, resultLoss: 0.27778 , Support Vectors: 61
C : 3, resultLoss: 0.27778 , Support Vectors: 61
C : 4, resultLoss: 0.27778 , Support Vectors: 61
C : 5, resultLoss: 0.24074 , Support Vectors: 61
C : 6, resultLoss: 0.18519 , Support Vectors: 61
C : 7, resultLoss: 0.13889 , Support Vectors: 60
C : 8, resultLoss: 0.13889 , Support Vectors: 60
C : 9, resultLoss: 0.13889 , Support Vectors: 58
C : 10, resultLoss: 0.13889 , Support Vectors: 58
C : 11, resultLoss: 0.13889 , Support Vectors: 56
C : 12, resultLoss: 0.13889 , Support Vectors: 57
C : 13, resultLoss: 0.13889 , Support Vectors: 56
C : 14, resultLoss: 0.13889 , Support Vectors: 55
C : 15, resultLoss: 0.13889 , Support Vectors: 55
C : 16, resultLoss: 0.13889 , Support Vectors: 54
C : 17, resultLoss: 0.13889 , Support Vectors: 54
C : 18, resultLoss: 0.13889 , Support Vectors: 53
C : 19, resultLoss: 0.13889 , Support Vectors: 53
C : 20, resultLoss: 0.13889 , Support Vectors: 53
The average classification rate for lin : 78.75
Use linear kernel method, the ClassificationRate is :  78.75
